run num,is warmup,timing
1,no,2.689999999999637e-05
2,no,2.5300000000005873e-05
3,no,2.489999999999437e-05
4,no,2.469999999998862e-05
5,no,2.5100000000000122e-05
6,no,2.2999999999995246e-05
7,no,2.289999999999237e-05
8,no,2.289999999999237e-05
9,no,2.2999999999995246e-05
10,no,2.289999999999237e-05
11,no,2.2999999999995246e-05
12,no,2.2700000000014375e-05
13,no,2.280000000001725e-05
14,no,2.3099999999998122e-05
15,no,2.2999999999995246e-05
16,no,2.2700000000014375e-05
average,2.3681249999999224e-05
variance,1.5152734374960071e-12
