THREAD:,1-1,
run num,is warmup,timing
1,yes,2.4599999999985744e-05
2,yes,2.4300000000004873e-05
3,yes,2.3999999999996247e-05
4,no,2.4099999999999122e-05
5,no,2.489999999999437e-05
6,no,2.2999999999995246e-05
7,no,2.289999999999237e-05
8,no,2.2799999999989495e-05
9,no,2.2999999999995246e-05
10,no,2.3099999999998122e-05
11,no,2.289999999999237e-05
12,no,2.2999999999995246e-05
13,no,2.2799999999989495e-05
14,no,2.289999999999237e-05
15,no,2.3200000000000998e-05
16,no,2.2999999999995246e-05
17,no,2.3099999999998122e-05
18,no,2.2799999999989495e-05
19,no,2.2999999999995246e-05
average,2.3156249999994535e-05,
variance,2.899609375013022e-13,
,,
