THREAD:,2-1,
run num,is warmup,timing
1,yes,2.3799999999990495e-05
2,yes,2.3200000000000998e-05
3,yes,2.3099999999998122e-05
4,no,2.3300000000003873e-05
5,no,2.3200000000000998e-05
6,no,2.3100000000025878e-05
7,no,2.280000000001725e-05
8,no,2.3300000000003873e-05
9,no,2.3200000000000998e-05
10,no,2.3300000000003873e-05
11,no,2.269999999998662e-05
average,2.311250000000542e-05,
variance,4.859375000053955e-14,
,,
THREAD:,2-2,
run num,is warmup,timing
1,yes,2.4099999999999122e-05
2,yes,2.3900000000021127e-05
3,yes,2.380000000001825e-05
4,no,2.3900000000021127e-05
5,no,2.3700000000015375e-05
6,no,2.380000000001825e-05
7,no,2.3700000000015375e-05
8,no,2.369999999998762e-05
9,no,2.3599999999984744e-05
10,no,2.36000000000125e-05
11,no,2.3700000000015375e-05
average,2.3712500000008796e-05,
variance,8.5937500013616e-15,
,,
