run num,is warmup,timing,average,variance
1,yes,3.909699989890214e-05,,
2,yes,4.093300003660261e-05,,
3,yes,4.081800034327898e-05,,
4,no,4.047899983561365e-05,,
5,no,3.91560001844482e-05,,
,,,3.9817500010030926e-05,4.3758201924597313e-13
run num,is warmup,timing,average,variance
1,yes,3.980000019510044e-05,,
2,yes,4.084000011062017e-05,,
3,yes,3.991699986727326e-05,,
4,no,4.0101000195136294e-05,,
5,no,3.9708999793219846e-05,,
,,,3.990499999417807e-05,3.84160787756642e-14
run num,is warmup,timing,average,variance
1,yes,3.598300008889055e-05,,
2,yes,3.562699976100703e-05,,
3,yes,3.531099991960218e-05,,
4,no,3.5524999930203194e-05,,
5,no,3.410499994060956e-05,,
,,,3.4814999935406377e-05,5.040999926114804e-13
run num,is warmup,timing,average,variance
1,yes,3.181400006724289e-05,,
2,yes,2.99319999612635e-05,,
3,yes,3.1042000045999885e-05,,
4,no,2.8966000172658823e-05,,
5,no,3.316099991934607e-05,,
,,,3.1063500046002446e-05,4.399505718676512e-12
run num,is warmup,timing,average,variance
1,yes,3.951899998355657e-05,,
2,yes,4.015500007881201e-05,,
3,yes,4.0205999994213926e-05,,
4,no,3.9136999930633465e-05,,
5,no,4.0048999835562427e-05,,
,,,3.9592999883097946e-05,2.0793595664760883e-13
run num,is warmup,timing,average,variance
1,yes,4.07110001106048e-05,,
2,yes,3.963000017392915e-05,,
3,yes,4.0021000131673645e-05,,
4,no,4.0130999877874274e-05,,
5,no,3.9524999920104165e-05,,
,,,3.982799989898922e-05,9.180898720434353e-14
run num,is warmup,timing,average,variance
1,yes,3.624000009949668e-05,,
2,yes,3.530000003593159e-05,,
3,yes,3.51290000253357e-05,,
4,no,4.9402999593439745e-05,,
5,no,3.466299995125155e-05,,
,,,4.203299977234565e-05,5.431689736292703e-11
run num,is warmup,timing,average,variance
1,yes,3.921999996236991e-05,,
2,yes,3.4779000088747125e-05,,
3,yes,3.095399961239309e-05,,
4,no,3.623200018409989e-05,,
5,no,3.9259999994101236e-05,,
,,,3.774600008910056e-05,2.2921957123420487e-12
